QGPIORecord, QRC v6.1.0, 18-11-2021 @ 15:10:00, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
2184470, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184481, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184491, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184500, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184510, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184520, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184530, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184540, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184550, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184560, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184570, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184581, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184590, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184600, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184610, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184621, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184630, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184640, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184650, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184660, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184670, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184680, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184690, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184700, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184710, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184720, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184730, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184740, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184751, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184760, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184770, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184780, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184791, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184800, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184810, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184820, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184830, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184840, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184850, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184860, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184870, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184880, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184890, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184900, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184910, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184921, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184930, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184940, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184950, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184961, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184970, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184980, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2184990, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2185000, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2185010, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2185020, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2185030, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2185040, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
2185050, 0, 0, 0, 0.00350624, 0, 0, 0, 0, 0, 0, 0, 0
