QGPIORecord, QRC v6.1.0, 18-11-2021 @ 14:43:19, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
582490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
582750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
