QGPIORecord, QRC v6.1.0, 22-12-2021 @ 16:12:22, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, w
404060, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404070, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404080, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404090, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404100, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404110, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404120, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404130, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404141, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404150, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404160, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404170, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404180, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404190, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404200, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404210, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404220, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404230, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404240, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404250, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404260, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404271, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404280, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404290, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404300, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404311, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404320, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404330, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404340, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404350, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404360, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404370, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404380, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404390, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
