QGPIORecord, QRC v6.1.0, 22-12-2021 @ 15:16:23, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, e1, e2, e3, vff, wff, vfb, wfb, v, w
129615, -0.228711, -0.198517, -0.0188436, 0.00170796, -0.00148, 0.0188436, 0.02, 0, 0.0086777, 0.0040684, 0.0286777, 0.0040684
129626, -0.228196, -0.198418, -0.0185956, 0.00139488, -0.00157928, 0.0185956, 0.02, 0, 0.00712004, 0.00339197, 0.02712, 0.00339197
129636, -0.227744, -0.19848, -0.0186638, 0.00114357, -0.00151671, 0.0186638, 0.02, 0, 0.00585841, 0.00372275, 0.0258584, 0.00372275
129646, -0.227345, -0.198536, -0.0187177, 0.000946805, -0.0014607, 0.0187177, 0.02, 0, 0.00486989, 0.00401698, 0.0248699, 0.00401698
129656, -0.226994, -0.198586, -0.0187588, 0.000796869, -0.0014106, 0.0187588, 0.02, 0, 0.00411594, 0.00427822, 0.0241159, 0.00427822
129666, -0.226683, -0.198631, -0.0187885, 0.000687197, -0.00136578, 0.0187885, 0.02, 0, 0.00356368, 0.00450997, 0.0235637, 0.00450997
129676, -0.226406, -0.198671, -0.0188081, 0.00060299, -0.00132574, 0.0188081, 0.02, 0, 0.00313908, 0.00471404, 0.0231391, 0.00471404
129686, -0.226266, -0.198707, -0.018823, 0.000663519, -0.00128976, 0.018823, 0.02, 0, 0.00343838, 0.00490863, 0.0234384, 0.00490863
129696, -0.22603, -0.198739, -0.0188248, 0.000629365, -0.00125779, 0.0188248, 0.02, 0, 0.00326465, 0.00506629, 0.0232647, 0.00506629
129705, -0.225714, -0.198767, -0.018815, 0.000515223, -0.00122957, 0.018815, 0.02, 0, 0.00269132, 0.0051907, 0.0226913, 0.0051907
129716, -0.225538, -0.198793, -0.018803, 0.000540316, -0.00120436, 0.018803, 0.02, 0, 0.00281432, 0.0053119, 0.0228143, 0.0053119
129726, -0.225379, -0.198663, -0.0185082, 0.000582322, -0.00133397, 0.0185082, 0.02, 0, 0.00303455, 0.00449012, 0.0230346, 0.00449012
129736, -0.225231, -0.198697, -0.0185139, 0.000627175, -0.00129993, 0.0185139, 0.02, 0, 0.00325566, 0.00466787, 0.0232557, 0.00466787
129745, -0.225096, -0.198727, -0.0185116, 0.000693232, -0.00126953, 0.0185116, 0.02, 0, 0.00358306, 0.00482456, 0.0235831, 0.00482456
129756, -0.22497, -0.198755, -0.0185021, 0.000769228, -0.00124243, 0.0185021, 0.02, 0, 0.00396041, 0.00496134, 0.0239604, 0.00496134
129766, -0.22475, -0.198779, -0.0184876, 0.000749752, -0.00121813, 0.0184876, 0.02, 0, 0.00386071, 0.00507228, 0.0238607, 0.00507228
129776, -0.224655, -0.1988, -0.0184652, 0.000856236, -0.0011968, 0.0184652, 0.02, 0, 0.00439094, 0.00517521, 0.0243909, 0.00517521
129786, -0.224564, -0.198819, -0.0184374, 0.000966981, -0.00117791, 0.0184374, 0.02, 0, 0.00494266, 0.00526306, 0.0249427, 0.00526306
129796, -0.224582, -0.198836, -0.018403, 0.00118685, -0.00116135, 0.018403, 0.02, 0, 0.00604009, 0.00534523, 0.0260401, 0.00534523
129806, -0.224483, -0.198928, -0.018505, 0.00127986, -0.0010694, 0.018505, 0.02, 0, 0.00649715, 0.00587536, 0.0264971, 0.00587536
129816, -0.22439, -0.198933, -0.01845, 0.00138794, -0.00106354, 0.01845, 0.02, 0, 0.00703662, 0.00588125, 0.0270366, 0.00588125
129826, -0.223892, -0.198938, -0.01839, 0.00109208, -0.00105864, 0.01839, 0.02, 0, 0.00555679, 0.00584213, 0.0255568, 0.00584213
129836, -0.223864, -0.198942, -0.018327, 0.00126496, -0.00105533, 0.018327, 0.02, 0, 0.00642043, 0.00583635, 0.0264204, 0.00583635
129846, -0.22383, -0.198944, -0.0182609, 0.00143279, -0.00105283, 0.0182609, 0.02, 0, 0.00725888, 0.00582409, 0.0272589, 0.00582409
129856, -0.223384, -0.198947, -0.0182019, 0.00118823, -0.00105016, 0.0182019, 0.02, 0, 0.00603575, 0.00577934, 0.0260358, 0.00577934
129866, -0.223092, -0.198948, -0.0181389, 0.00108804, -0.00104873, 0.0181389, 0.02, 0, 0.0055344, 0.00573922, 0.0255344, 0.00573922
129875, -0.222732, -0.198873, -0.0179353, 0.000929996, -0.00112444, 0.0179353, 0.02, 0, 0.00475006, 0.00522324, 0.0247501, 0.00522324
129886, -0.222414, -0.19888, -0.0178943, 0.00081265, -0.00111666, 0.0178943, 0.02, 0, 0.0041625, 0.00522684, 0.0241625, 0.00522684
129896, -0.222131, -0.19881, -0.0177082, 0.000731573, -0.00118685, 0.0177082, 0.02, 0, 0.00376237, 0.00475638, 0.0237624, 0.00475638
129906, -0.221879, -0.198746, -0.0175391, 0.000681013, -0.00125074, 0.0175391, 0.02, 0, 0.00351422, 0.00433042, 0.0235142, 0.00433042
129915, -0.221653, -0.198764, -0.0175193, 0.000656113, -0.0012328, 0.0175193, 0.02, 0, 0.00338805, 0.00440601, 0.023388, 0.00440601
129926, -0.221449, -0.19878, -0.0174925, 0.000644758, -0.00121719, 0.0174925, 0.02, 0, 0.00332975, 0.00446687, 0.0233297, 0.00446687
129936, -0.221266, -0.198793, -0.0174595, 0.000662506, -0.00120364, 0.0174595, 0.02, 0, 0.00341709, 0.00451627, 0.0234171, 0.00451627
129946, -0.221, -0.198806, -0.0174323, 0.000598192, -0.00119114, 0.0174323, 0.02, 0, 0.00309432, 0.00455673, 0.0230943, 0.00455673
129956, -0.220861, -0.198816, -0.0173888, 0.000660881, -0.00118122, 0.0173888, 0.02, 0, 0.0034066, 0.00458553, 0.0234066, 0.00458553
129966, -0.220733, -0.198824, -0.0173414, 0.000733986, -0.00117274, 0.0173414, 0.02, 0, 0.00377106, 0.00460568, 0.0237711, 0.00460568
129976, -0.220713, -0.198831, -0.0172809, 0.000916064, -0.00116627, 0.0172809, 0.02, 0, 0.0046804, 0.00461722, 0.0246804, 0.00461722
129986, -0.220488, -0.198914, -0.0173729, 0.000892416, -0.00108251, 0.0173729, 0.02, 0, 0.00455543, 0.0050895, 0.0245554, 0.0050895
129996, -0.220385, -0.198912, -0.0173022, 0.000981525, -0.00108473, 0.0173022, 0.02, 0, 0.00500072, 0.00504339, 0.0250007, 0.00504339
130006, -0.220288, -0.19891, -0.0172302, 0.00108559, -0.00108726, 0.0172302, 0.02, 0, 0.00552083, 0.00499611, 0.0255208, 0.00499611
130017, -0.220196, -0.198831, -0.0170202, 0.0011948, -0.00116634, 0.0170202, 0.02, 0, 0.00607241, 0.00448291, 0.0260724, 0.00448291
130026, -0.219719, -0.198838, -0.0169999, 0.000919789, -0.00115936, 0.0169999, 0.02, 0, 0.00469682, 0.00448218, 0.0246968, 0.00448218
130036, -0.219301, -0.198843, -0.0169727, 0.00070256, -0.00115389, 0.0169727, 0.02, 0, 0.00361021, 0.00447461, 0.0236102, 0.00447461
130045, -0.219027, -0.198847, -0.0169303, 0.000630051, -0.0011504, 0.0169303, 0.02, 0, 0.00324718, 0.00446032, 0.0232472, 0.00446032
130056, -0.218687, -0.19885, -0.0168935, 0.000482753, -0.00114718, 0.0168935, 0.02, 0, 0.00251032, 0.00444182, 0.0225103, 0.00444182
130066, -0.218386, -0.198852, -0.0168527, 0.000383601, -0.00114493, 0.0168527, 0.02, 0, 0.0020142, 0.00442013, 0.0220142, 0.00442013
130076, -0.218119, -0.198854, -0.0168085, 0.000317559, -0.0011435, 0.0168085, 0.02, 0, 0.00168367, 0.00439509, 0.0216837, 0.00439509
130085, -0.21788, -0.198854, -0.0167613, 0.000279993, -0.00114277, 0.0167613, 0.02, 0, 0.00149553, 0.00436721, 0.0214955, 0.00436721
130096, -0.217667, -0.198703, -0.0164525, 0.000267923, -0.00129353, 0.0164525, 0.02, 0, 0.00144584, 0.00342681, 0.0214458, 0.00342681
130106, -0.217473, -0.198718, -0.016433, 0.000275597, -0.0012795, 0.016433, 0.02, 0, 0.00148292, 0.00348582, 0.0214829, 0.00348582
130116, -0.217297, -0.19873, -0.0164079, 0.000301406, -0.00126731, 0.0164079, 0.02, 0, 0.00161079, 0.00353375, 0.0216108, 0.00353375
130126, -0.217043, -0.198741, -0.0163897, 0.000239775, -0.0012559, 0.0163897, 0.02, 0, 0.00130163, 0.00357482, 0.0213016, 0.00357482
130136, -0.21691, -0.19875, -0.0163549, 0.000308126, -0.00124693, 0.0163549, 0.02, 0, 0.00164239, 0.0036043, 0.0216424, 0.0036043
