QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:13:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
826201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
826760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
