QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:09:38, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
592710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
592990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
593990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
