QGPIORecord, QRC v6.1.0, 04-12-2021 @ 21:52:10, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, C, D, ValueIn9, ValueIn10, ValueIn11
49120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
