QGPIORecord, QRC v6.1.0, 04-12-2021 @ 21:56:32, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, C, D, ValueIn9, ValueIn10, ValueIn11
310770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
311270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
