QGPIORecord, QRC v6.1.0, 10-11-2021 @ 15:56:01, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
2055811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055981, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2056990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2057000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
