QGPIORecord, QRC v6.1.0, 18-11-2021 @ 01:25:43, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1609190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1609991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1610120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
