QGPIORecord, QRC v6.1.0, 18-11-2021 @ 01:26:21, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1647750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1647990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1648370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
