QGPIORecord, QRC v6.1.0, 10-11-2021 @ 15:49:38, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1673120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1673990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1674990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1675000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1675011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1675020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
