QGPIORecord, QRC v6.1.0, 18-11-2021 @ 01:22:10, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1396320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1396970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
