QGPIORecord, QRC v6.1.0, 10-11-2021 @ 15:55:37, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
2032260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
