QGPIORecord, QRC v6.1.0, 10-11-2021 @ 15:50:35, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1729921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1729931, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1729940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1729950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1729960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1729970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1729980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1729990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1730630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
