QGPIORecord, QRC v6.1.0, 08-12-2021 @ 16:58:07, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, P, L, vA, vB, y, x, NaN, nu, S
4720, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4730, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4742, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4750, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
4760, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4770, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4781, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4790, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
4800, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4810, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4820, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4830, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4840, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4850, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4860, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4870, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4880, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4890, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4900, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
4911, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4920, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4930, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4940, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4951, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
