QGPIORecord, QRC v6.1.0, 11-12-2021 @ 22:28:25, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, P, L, vA, vB, y, x, NaN, nu, S
21310, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21321, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21330, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21340, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21350, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21360, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21370, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21381, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21390, 0, 0, 0, 0, 0, 0, 0, 0.43799, 0, 0, 0, 0
21400, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21410, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21421, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21430, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21440, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21450, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21460, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21470, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21480, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21490, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21500, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21510, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21520, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21530, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21540, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21551, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21560, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21570, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21580, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21591, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21600, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21610, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21620, 0, 0, 0, 0, 0, 0, 0, 0.410438, 0, 0, 0, 0
21630, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21640, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21650, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21660, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21670, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21680, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21690, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21700, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21710, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21721, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21730, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21740, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21750, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21761, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21770, 0, 0, 0, 0, 0, 0, 0, 0.410438, 0, 0, 0, 0
21780, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21790, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21800, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21810, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21820, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21830, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21840, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21850, 0, 0, 0, 0, 0, 0, 0, 0.404096, 0, 0, 0, 0
21860, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21870, 0, 0, 0, 0, 0, 0, 0, 0.430751, 0, 0, 0, 0
21880, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
21891, 0, 0, 0, 0, 0, 0, 0, 0.423754, 0, 0, 0, 0
