QGPIORecord, QRC v6.1.0, 08-12-2021 @ 17:02:15, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, P, L, vA, vB, y, x, NaN, nu, S
7301, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
7311, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7320, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7330, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7341, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7350, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7360, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7370, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
7380, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7390, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7400, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7410, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7420, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7430, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7440, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7450, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
7460, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7471, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7480, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7490, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7500, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7511, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7520, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
7530, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
