QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:39:00, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
67360, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67371, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67380, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67390, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67400, 0.207514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67410, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67420, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67430, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67440, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67450, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67460, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67470, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67480, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67490, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67501, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67510, 0.207514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67520, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67530, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67540, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67550, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67560, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67570, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67580, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67590, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67600, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67610, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67620, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67630, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67640, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67650, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
