QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:08:37, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
17100, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17111, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
17120, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17130, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17140, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17150, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17160, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
17170, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17180, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17190, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17201, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17210, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17220, 0.00350624, 0, 1, 0, 0, 0, 0.00596047, 0, 0, 0, 0, 0
17230, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17241, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
17250, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17260, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17270, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17281, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17290, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
17300, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17310, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17320, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
17331, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17340, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
