QGPIORecord, QRC v6.1.0, 15-12-2021 @ 22:14:23, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, -
66171, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66182, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66192, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66201, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66211, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66222, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66232, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66241, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66251, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66262, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66272, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66281, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66291, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66301, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66312, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66322, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66331, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66341, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66352, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66362, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66372, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
66383, -0.327467, -0.223136, 0, 3.33333e-07, 0, 3.33333e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66394, -0.344591, -0.238564, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.289239, 0.194408, 0
66404, -0.357061, -0.248848, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66414, -0.365375, -0.255703, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66423, -0.370917, -0.260273, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66434, -0.374612, -0.263319, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66444, -0.377075, -0.265349, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66454, -0.378717, -0.266702, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66463, -0.379812, -0.267605, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66473, -0.379488, -0.267756, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.289239, 0.193059, 0
66484, -0.380326, -0.268307, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66494, -0.380884, -0.268674, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66504, -0.381257, -0.268469, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.193059, 0
66513, -0.381505, -0.269239, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.195777, 0
66524, -0.381671, -0.268402, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.19173, 0
66534, -0.381781, -0.268288, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.193059, 0
66544, -0.378761, -0.268661, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.283122, 0.194408, 0
66553, -0.378787, -0.26846, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.289239, 0.193059, 0
66564, -0.379859, -0.268776, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66574, -0.380573, -0.268987, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66584, -0.382128, -0.268678, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.295637, 0.193059, 0
66593, -0.382086, -0.268921, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66604, -0.382058, -0.269084, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66614, -0.382039, -0.268742, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.193059, 0
66624, -0.380972, -0.269421, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.289239, 0.195777, 0
66634, -0.381315, -0.269416, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66643, -0.381544, -0.269414, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66654, -0.381697, -0.269412, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66664, -0.381798, -0.268961, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.193059, 0
