QGPIORecord, QRC v6.1.0, 10-11-2021 @ 13:55:42, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
241380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
