QGPIORecord, QRC v6.1.0, 10-11-2021 @ 13:56:36, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
294780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295630, 0.0596061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295641, 0.189337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295650, 0.350624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295660, 0.52243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295670, 0.704755, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295681, 0.890585, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295690, 1.07642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295700, 1.26575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295710, 1.45509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295720, 1.64443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295731, 1.83727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295740, 2.02661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295750, 2.21594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295760, 2.40528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295771, 2.59462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295780, 2.78746, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295790, 2.97329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295800, 3.16263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295811, 3.35197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295820, 3.54481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295830, 3.73415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295840, 3.92348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295851, 4.11282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295860, 4.30216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295870, 4.495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295880, 4.68434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295890, 4.87368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295901, 5.06301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295910, 5.25586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295920, 5.44519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295930, 5.63453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295941, 5.82387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295950, 6.01671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295960, 6.20605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295970, 6.39539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295981, 6.58823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
295990, 6.77406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
296000, 6.9669, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
296010, 7.15624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
296020, 7.34558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
296031, 7.53491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
296040, 7.72776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
296050, 7.91709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
296060, 8.10643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
296071, 8.29577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
296080, 8.48861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
296090, 8.67795, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
