QGPIORecord, QRC v6.1.0, 16-12-2021 @ 10:07:06, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, -
23992, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24001, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24011, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24022, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24032, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24041, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24051, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24061, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24072, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24082, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24091, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24101, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24112, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24122, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24131, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24141, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24152, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24162, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24171, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24181, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
24192, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
