QGPIORecord, QRC v6.1.0, 21-12-2021 @ 00:30:15, Windows 10 Version 2009, 10.0.19042, x86_64
Time, y1, y2, x1, x2, x3, P11, P12, P22, P13, P23, P33, ValueIn11
960390, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960400, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960410, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960420, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960431, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960440, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960450, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960460, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960471, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960480, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960490, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960500, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960510, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960520, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960530, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960540, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960550, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960560, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960570, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960580, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960590, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
