QGPIORecord, QRC v6.1.0, 20-11-2021 @ 13:52:14, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, CurrentA, CurrentB, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
625591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625660, 0, 0, 0, 0, 0, 0.00298024, 0.00298024, 0, 0, 0, 0, 0
625670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625680, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
625690, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
625700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625770, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
625780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625840, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
625850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625870, 0, 0, 0, 0, 0, -0.00298024, 0, 0, 0, 0, 0, 0
625881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625890, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
625900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625921, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
625930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625950, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
625960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
625990, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
626000, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
626011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626100, 0, 0, 0, 0, 0, 0.00894071, -0.00596047, 0, 0, 0, 0, 0
626110, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
626120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626181, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
626190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
