QGPIORecord, QRC v6.1.0, 20-11-2021 @ 13:52:32, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, CurrentA, CurrentB, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
644240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644280, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
644290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644300, 0, 0, 0, 0, 0, 0, 0.00596047, 0, 0, 0, 0, 0
644311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644370, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
644380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644450, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
644460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
644470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
