QGPIORecord, QRC v6.1.0, 15-12-2021 @ 15:46:55, Windows 10 Version 2009, 10.0.19042, x86_64
Time, FDR, rA, rB, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
95630, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95640, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95651, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95661, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95670, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95680, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95690, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95700, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95710, 0.230129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95720, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95730, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95740, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95750, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95760, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95770, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95780, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95791, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95800, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95810, 0.228207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95820, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95831, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95840, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95850, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95860, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95870, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95880, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95890, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95900, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95910, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95920, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95930, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95940, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95950, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95961, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95970, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95980, 0.240277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95990, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96001, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96010, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96020, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96030, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96040, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96050, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96060, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96070, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96080, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96090, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96100, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96110, 0.228207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96120, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96131, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96140, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96150, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96160, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96171, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96180, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96190, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96200, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96210, 0.230129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96220, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96230, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96240, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96250, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96260, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96270, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96280, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96290, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96301, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96310, 0.230129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96320, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96330, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96340, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96350, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96360, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96370, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96380, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96390, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96400, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96410, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96420, 0.226317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96431, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96440, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96450, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96460, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96471, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96480, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96490, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96500, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96510, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96520, 0.230129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96530, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96540, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96550, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96560, 0.242421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96570, 0.242421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96580, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96590, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96601, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96610, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96620, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96630, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96641, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96650, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96660, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96670, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96680, 0.234079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96690, 0.232086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
