QGPIORecord, QRC v6.1.0, 08-12-2021 @ 17:11:06, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, P, L, vA, vB, y, x, NaN, nu, S
3430, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3441, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3450, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3461, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3470, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3480, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3490, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3501, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
3510, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3520, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3530, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3540, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3550, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3560, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3570, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
3580, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3590, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3600, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3610, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3620, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3631, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3640, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3650, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
3660, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3671, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3680, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3690, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3700, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3710, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3720, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3730, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3740, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3750, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3760, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3770, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3780, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3790, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3801, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3810, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3820, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3830, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3841, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3850, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3860, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3870, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3880, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3890, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3900, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3910, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
3920, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3930, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3940, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
3950, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3960, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3971, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3980, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
3990, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4000, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4011, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4020, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4030, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4040, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4050, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4060, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
4070, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4080, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4090, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4101, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4110, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4120, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4130, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
4141, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4150, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4160, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4170, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4180, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4190, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4200, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4210, 0, 0, 0, 0, 0, 0, 0, 0.34119, 0, 0, 0, 0
4220, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4230, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4240, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4250, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4260, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4271, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4280, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4290, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4300, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4311, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4320, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
4330, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4340, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4350, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4360, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
4370, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4380, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4390, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
4400, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4410, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4420, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4430, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4441, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4450, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4460, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4470, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
4481, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4490, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4500, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4510, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4520, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4530, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4540, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
4550, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4560, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4570, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4580, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4590, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4600, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4611, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
4620, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
4630, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4640, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4651, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
4660, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
