QGPIORecord, QRC v6.1.0, 17-12-2021 @ 16:52:49, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, Phat00, Phat10, Phat11, Phat20, Phat21, Phat22, meas1, meas2, -
389122, -0.205592, -0.362329, -1.54741, 0.89037, 0.103719, 0.0798168, 7.49557, 0.761065, 588.401, 0.204442, 0.158368, 0
389132, -0.205592, -0.362329, -1.54741, 0.89038, 0.103719, 0.0798268, 7.49557, 0.761065, 588.501, 0.204442, 0.158368, 0
389143, -0.205592, -0.362329, -1.54741, 0.89039, 0.103719, 0.0798368, 7.49557, 0.761065, 588.601, 0.204442, 0.158368, 0
389151, -0.205592, -0.362329, -1.54741, 0.8904, 0.103719, 0.0798468, 7.49557, 0.761065, 588.701, 0.204442, 0.158368, 0
389161, -0.205592, -0.362329, -1.54741, 0.89041, 0.103719, 0.0798568, 7.49557, 0.761065, 588.8, 0.204442, 0.158368, 0
389172, -0.205592, -0.362329, -1.54741, 0.89042, 0.103719, 0.0798668, 7.49557, 0.761065, 588.9, 0.204442, 0.158368, 0
389182, -0.205592, -0.362329, -1.54741, 0.89043, 0.103719, 0.0798768, 7.49557, 0.761065, 589, 0.204442, 0.158368, 0
389192, -0.205592, -0.362329, -1.54741, 0.89044, 0.103719, 0.0798868, 7.49557, 0.761065, 589.1, 0.204442, 0.158368, 0
389201, -0.205592, -0.362329, -1.54741, 0.89045, 0.103719, 0.0798968, 7.49557, 0.761065, 589.2, 0.204442, 0.158368, 0
389212, -0.205592, -0.362329, -1.54741, 0.89046, 0.103719, 0.0799068, 7.49557, 0.761065, 589.3, 0.204442, 0.158368, 0
389222, -0.205592, -0.362329, -1.54741, 0.890471, 0.103719, 0.0799168, 7.49557, 0.761065, 589.4, 0.204442, 0.158368, 0
389232, -0.205592, -0.362329, -1.54741, 0.890481, 0.103719, 0.0799268, 7.49557, 0.761065, 589.5, 0.204442, 0.158368, 0
389241, -0.205592, -0.362329, -1.54741, 0.890491, 0.103719, 0.0799368, 7.49557, 0.761065, 589.6, 0.204442, 0.158368, 0
389252, -0.205592, -0.362329, -1.54741, 0.890501, 0.103719, 0.0799468, 7.49557, 0.761065, 589.7, 0.204442, 0.158368, 0
389262, -0.205592, -0.362329, -1.54741, 0.890511, 0.103719, 0.0799568, 7.49557, 0.761065, 589.8, 0.204442, 0.158368, 0
389272, -0.205592, -0.362329, -1.54741, 0.890521, 0.103719, 0.0799668, 7.49557, 0.761065, 589.9, 0.204442, 0.158368, 0
389281, -0.205592, -0.362329, -1.54741, 0.890531, 0.103719, 0.0799768, 7.49557, 0.761065, 590, 0.204442, 0.158368, 0
389292, -0.205592, -0.362329, -1.54741, 0.890541, 0.103719, 0.0799868, 7.49557, 0.761065, 590.1, 0.204442, 0.158368, 0
389302, -0.205592, -0.362329, -1.54741, 0.890551, 0.103719, 0.0799968, 7.49557, 0.761065, 590.2, 0.204442, 0.158368, 0
389312, -0.205592, -0.362329, -1.54741, 0.890561, 0.103719, 0.0800068, 7.49557, 0.761065, 590.3, 0.204442, 0.158368, 0
389321, -0.205592, -0.362329, -1.54741, 0.890571, 0.103719, 0.0800168, 7.49557, 0.761065, 590.4, 0.204442, 0.158368, 0
389331, -0.205592, -0.362329, -1.54741, 0.890581, 0.103719, 0.0800268, 7.49557, 0.761065, 590.5, 0.204442, 0.158368, 0
389342, -0.205592, -0.362329, -1.54741, 0.890591, 0.103719, 0.0800368, 7.49557, 0.761065, 590.6, 0.204442, 0.158368, 0
389352, -0.205592, -0.362329, -1.54741, 0.890601, 0.103719, 0.0800468, 7.49557, 0.761065, 590.7, 0.204442, 0.158368, 0
389362, -0.205592, -0.362329, -1.54741, 0.890611, 0.103719, 0.0800567, 7.49557, 0.761065, 590.8, 0.204442, 0.158368, 0
389371, -0.205592, -0.362329, -1.54741, 0.890621, 0.103719, 0.0800667, 7.49557, 0.761065, 590.9, 0.204442, 0.158368, 0
389382, -0.205592, -0.362329, -1.54741, 0.890631, 0.103719, 0.0800767, 7.49557, 0.761065, 591, 0.204442, 0.158368, 0
389392, -0.205592, -0.362329, -1.54741, 0.890641, 0.103719, 0.0800867, 7.49557, 0.761065, 591.1, 0.204442, 0.158368, 0
389402, -0.205592, -0.362329, -1.54741, 0.890651, 0.103719, 0.0800967, 7.49557, 0.761065, 591.2, 0.204442, 0.158368, 0
389411, -0.205592, -0.362329, -1.54741, 0.890661, 0.103719, 0.0801067, 7.49557, 0.761065, 591.3, 0.204442, 0.158368, 0
389422, -0.205592, -0.362329, -1.54741, 0.890671, 0.103719, 0.0801167, 7.49557, 0.761065, 591.4, 0.204442, 0.158368, 0
389432, -0.205592, -0.362329, -1.54741, 0.890681, 0.103719, 0.0801267, 7.49557, 0.761065, 591.5, 0.204442, 0.158368, 0
389442, -0.205592, -0.362329, -1.54741, 0.890691, 0.103719, 0.0801367, 7.49557, 0.761065, 591.6, 0.204442, 0.158368, 0
389451, -0.205592, -0.362329, -1.54741, 0.890701, 0.103719, 0.0801467, 7.49557, 0.761065, 591.7, 0.204442, 0.158368, 0
389462, -0.205592, -0.362329, -1.54741, 0.890711, 0.103719, 0.0801567, 7.49557, 0.761065, 591.8, 0.204442, 0.158368, 0
