QGPIORecord, QRC v6.1.0, 30-11-2021 @ 00:59:27, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, C, D, ValueIn9, ValueIn10, ValueIn11
82680, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82692, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82700, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82710, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82720, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82731, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82740, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82750, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82760, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82770, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82780, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82790, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82800, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82810, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82820, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82830, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82840, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82850, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82861, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82870, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
82880, 0, 0, 0, 0, 0, 0.261708, 0.30465, 0.914457, -0.790742, 0, 0, 0
