QGPIORecord, QRC v6.1.0, 30-11-2021 @ 21:20:28, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, C, D, ValueIn9, ValueIn10, ValueIn11
130000, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130012, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130020, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130030, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130040, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130051, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130060, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130070, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130080, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130091, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130100, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130110, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130120, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130130, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130141, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130150, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130160, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130170, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130181, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130190, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130200, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130210, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130221, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130230, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130240, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130250, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130260, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130270, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130280, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130290, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130300, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130311, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130320, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130330, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130340, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130351, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
130360, 0, 0, 0, 0, 0, 0, 0, 0.785869, -0.706532, 0, 0, 0
