QGPIORecord, QRC v6.1.0, 30-11-2021 @ 21:16:17, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, C, D, ValueIn9, ValueIn10, ValueIn11
264230, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264242, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264250, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264260, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264270, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264281, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264290, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264300, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264310, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264321, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264330, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264340, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264350, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264360, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264370, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264380, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264390, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264400, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264410, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264420, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264430, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264440, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264451, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
264460, 0, 0, 0, 0, 0, 327.94, 328.088, 0.84769, -0.74771, 0, 0, 0
