QGPIORecord, QRC v6.1.0, 15-12-2021 @ 15:54:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, FDR, rA, rB, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
576450, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576460, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576471, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576480, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576490, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576500, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576510, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576520, 0.149308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576530, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576540, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576550, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576560, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576570, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576580, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576590, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576601, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576610, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576620, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576630, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576641, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576650, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576660, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576670, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576680, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576690, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576700, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576710, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576720, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576730, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576740, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576750, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576760, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576771, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576780, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576790, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576800, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576811, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576820, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576830, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576840, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576850, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576860, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576870, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576880, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576890, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576900, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576910, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576920, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576930, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576941, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576950, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576960, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576970, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576980, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576990, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577000, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577010, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577020, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577030, 0.149308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577040, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577050, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577060, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577071, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577080, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577090, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577100, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577111, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577120, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577130, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577140, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577150, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577160, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577170, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577180, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577190, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577200, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577210, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577220, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577230, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577241, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577250, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577260, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577270, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577281, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577290, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577300, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577310, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577320, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577330, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577340, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577350, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577360, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577370, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577380, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577390, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577400, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577411, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577420, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577430, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577440, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577451, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577460, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577470, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577480, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577490, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577500, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577510, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577520, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577530, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577540, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577550, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577560, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577570, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577581, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577590, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577600, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577610, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577620, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577630, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577640, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577650, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577660, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577670, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577680, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577690, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577700, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
