QGPIORecord, QRC v6.1.0, 11-12-2021 @ 21:50:46, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, Phat, L, vA, vB, Front Distance, xhat(0), xref, nu(0), S(0)
40001, 0.293275, 0.275342, 0.0165649, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.15011, -0.15, -2.81334e-05, 1.05469e-06
40010, 0.293704, 0.27582, 0.0154652, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150103, -0.15, -2.00123e-05, 1.05469e-06
40022, 0.294105, 0.276268, 0.0145219, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150097, -0.15, -1.30385e-05, 1.05469e-06
40031, 0.294483, 0.27669, 0.0137106, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150091, -0.15, -7.04825e-06, 1.05469e-06
40041, 0.294841, 0.277088, 0.0130154, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150087, -0.15, -1.90735e-06, 1.05469e-06
40050, 0.295181, 0.277468, 0.0124164, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150083, -0.15, 2.5034e-06, 1.05469e-06
40060, 0.295204, 0.277494, -0.0106797, 9.2698e-08, -0.0973729, 0, 0, 0.148539, -0.149929, -0.15, -0.00153984, 1.05469e-06
40071, 0.294955, 0.277216, -0.00792816, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149947, -0.15, 0.000152767, 1.05469e-06
40081, 0.294775, 0.277015, -0.00556558, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149963, -0.15, 0.000135317, 1.05469e-06
40090, 0.294806, 0.27705, 0.00794604, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150053, -0.15, 0.000906527, 1.05469e-06
40100, 0.295021, 0.277289, 0.00806451, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150054, -0.15, 3.46452e-05, 1.05469e-06
40111, 0.295238, 0.277532, 0.00816733, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150054, -0.15, 3.39001e-05, 1.05469e-06
40121, 0.295458, 0.277777, 0.0082545, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150055, -0.15, 3.32445e-05, 1.05469e-06
40130, 0.29568, 0.278024, 0.00833049, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150056, -0.15, 3.26931e-05, 1.05469e-06
40140, 0.295903, 0.278274, 0.00839531, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150056, -0.15, 3.22163e-05, 1.05469e-06
40151, 0.296129, 0.278526, 0.00845119, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150056, -0.15, 3.17991e-05, 1.05469e-06
40161, 0.296509, 0.27895, 0.0199825, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150133, -0.15, 0.000817627, 1.05469e-06
