QGPIORecord, QRC v6.1.0, 11-12-2021 @ 21:46:26, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, Phat, L, vA, vB, Front Distance, xhat(0), xref, nu(0), S(0)
29220, -0.0666453, -0.302753, 0.0113332, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150189, -0.15, -0.000115052, 1.05469e-06
29231, -0.0665919, -0.302693, -0.00734031, 9.2698e-08, -0.0973729, 0, 0, 0.147027, -0.149878, -0.15, -0.00315849, 1.05469e-06
29242, -0.0667704, -0.302892, -0.00599921, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.1499, -0.15, 0.000204995, 1.05469e-06
29250, -0.0670359, -0.303188, -0.0138456, 9.2698e-08, -0.0973729, 0, 0, 0.148539, -0.149769, -0.15, -0.00136307, 1.05469e-06
29260, -0.0673785, -0.303571, -0.011757, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149804, -0.15, 0.0003113, 1.05469e-06
29271, -0.067607, -0.303825, -0.00531524, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.149911, -0.15, 0.00106336, 1.05469e-06
29281, -0.0676729, -0.303899, 0.000386238, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150006, -0.15, 0.000958085, 1.05469e-06
29291, -0.0676566, -0.303881, 0.000838637, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150014, -0.15, 7.87228e-05, 1.05469e-06
29300, -0.0676287, -0.30385, 0.00123918, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150021, -0.15, 7.13319e-05, 1.05469e-06
29310, -0.0675908, -0.303807, 0.00159323, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150027, -0.15, 6.47902e-05, 1.05469e-06
29321, -0.0674825, -0.303687, 0.00649989, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150108, -0.15, 0.000845194, 1.05469e-06
29331, -0.0673119, -0.303496, 0.00624955, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150104, -0.15, -2.11746e-05, 1.05469e-06
29340, -0.0671476, -0.303313, 0.00602782, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.1501, -0.15, -1.70916e-05, 1.05469e-06
29350, -0.0669275, -0.303067, 0.0104249, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150174, -0.15, 0.000772715, 1.05469e-06
29361, -0.0666579, -0.302767, 0.00972301, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150162, -0.15, -8.5324e-05, 1.05469e-06
29371, -0.066406, -0.302486, 0.00910163, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150152, -0.15, -7.38502e-05, 1.05469e-06
29380, -0.0664088, -0.302489, -0.00931621, 9.2698e-08, -0.0973729, 0, 0, 0.147027, -0.149845, -0.15, -0.00312202, 1.05469e-06
29390, -0.0666372, -0.302744, -0.00774801, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149871, -0.15, 0.000237286, 1.05469e-06
29401, -0.0669468, -0.303089, -0.0153932, 9.2698e-08, -0.0973729, 0, 0, 0.148539, -0.149743, -0.15, -0.00133449, 1.05469e-06
29411, -0.0673285, -0.303515, -0.0131267, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149781, -0.15, 0.000336587, 1.05469e-06
29420, -0.067653, -0.303877, -0.0111213, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149815, -0.15, 0.000299558, 1.05469e-06
29430, -0.0678654, -0.304114, -0.00475198, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.149921, -0.15, 0.00105296, 1.05469e-06
29441, -0.0680394, -0.304308, -0.00825047, 9.2698e-08, -0.0973729, 0, 0, 0.149308, -0.149862, -0.15, -0.000614703, 1.05469e-06
29451, -0.0682408, -0.304532, -0.00680476, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149887, -0.15, 0.000219867, 1.05469e-06
29461, -0.0684058, -0.304717, -0.00552624, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149908, -0.15, 0.000196248, 1.05469e-06
29470, -0.0685386, -0.304865, -0.00439346, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149927, -0.15, 0.000175342, 1.05469e-06
29480, -0.0686428, -0.304981, -0.00339121, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149943, -0.15, 0.000156835, 1.05469e-06
29491, -0.0687216, -0.305069, -0.00250429, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149958, -0.15, 0.000140458, 1.05469e-06
29501, -0.0687167, -0.305063, 0.00287354, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150048, -0.15, 0.000912145, 1.05469e-06
29510, -0.0685761, -0.304907, 0.00763267, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150127, -0.15, 0.000824273, 1.05469e-06
29520, -0.0683769, -0.304684, 0.00725269, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150121, -0.15, -3.96967e-05, 1.05469e-06
29531, -0.0681873, -0.304473, 0.00691563, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150115, -0.15, -3.34829e-05, 1.05469e-06
29541, -0.0680062, -0.304271, 0.00661701, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.15011, -0.15, -2.79695e-05, 1.05469e-06
29550, -0.0677091, -0.303939, 0.0155917, 9.2698e-08, -0.0973729, 0, 0, 0.151666, -0.15026, -0.15, 0.0015582, 1.05469e-06
29560, -0.0673091, -0.303493, 0.0142962, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150238, -0.15, -0.000169754, 1.05469e-06
29571, -0.0669418, -0.303083, 0.0131491, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150219, -0.15, -0.000148579, 1.05469e-06
29581, -0.0665421, -0.302637, 0.0167271, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150279, -0.15, 0.000656351, 1.05469e-06
29590, -0.0661135, -0.302159, 0.0153002, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150255, -0.15, -0.000188306, 1.05469e-06
29600, -0.0657209, -0.301721, 0.0140378, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150234, -0.15, -0.000164986, 1.05469e-06
29611, -0.0653601, -0.301319, 0.0129211, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150215, -0.15, -0.000144362, 1.05469e-06
29621, -0.0650276, -0.300948, 0.0119323, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150199, -0.15, -0.000126109, 1.05469e-06
29631, -0.0649002, -0.300806, -0.00241756, 9.2698e-08, -0.0973729, 0, 0, 0.147779, -0.14996, -0.15, -0.00241637, 1.05469e-06
29640, -0.0649546, -0.300867, -0.00164241, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149973, -0.15, 0.000124544, 1.05469e-06
