QGPIORecord, QRC v6.1.0, 11-12-2021 @ 21:47:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, Phat, L, vA, vB, Front Distance, xhat(0), xref, nu(0), S(0)
47000, -0.0556245, -0.0706351, -0.00570655, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149929, -0.15, 0.000173241, 1.05469e-06
47010, -0.0556772, -0.0706939, 0.00176907, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150022, -0.15, 0.00094071, 1.05469e-06
47022, -0.0556238, -0.0706343, 0.00221729, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150028, -0.15, 6.35087e-05, 1.05469e-06
47031, -0.0555592, -0.0705623, 0.00261188, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150033, -0.15, 5.804e-05, 1.05469e-06
47040, -0.0554846, -0.0704791, 0.00295877, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150037, -0.15, 5.32418e-05, 1.05469e-06
47050, -0.0554014, -0.0703862, 0.00326276, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150041, -0.15, 4.90248e-05, 1.05469e-06
47060, -0.0553105, -0.0702848, 0.00353098, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150044, -0.15, 4.53144e-05, 1.05469e-06
47071, -0.0552128, -0.0701759, 0.00376701, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150047, -0.15, 4.20511e-05, 1.05469e-06
47081, -0.0551092, -0.0700603, 0.00397444, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.15005, -0.15, 3.91752e-05, 1.05469e-06
47090, -0.0551616, -0.0701187, -0.00788808, 9.2698e-08, -0.0973729, 0, 0, 0.148539, -0.149901, -0.15, -0.00150949, 1.05469e-06
47100, -0.0553511, -0.0703301, -0.00627279, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149922, -0.15, 0.000181079, 1.05469e-06
47111, -0.0555, -0.0704962, -0.00485182, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149939, -0.15, 0.000161409, 1.05469e-06
47121, -0.0556131, -0.0706224, -0.0036025, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149955, -0.15, 0.000144109, 1.05469e-06
47130, -0.0556948, -0.0707136, -0.00250459, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.149969, -0.15, 0.000128895, 1.05469e-06
